 min, max u ice = -0.49833577336061413       0.49834885718109606              212
 min, max u ice = -0.50014765759065882       0.50016084399933647              213
 min, max u ice = -0.50195571940135986       0.50196900863776528              214
 min, max u ice = -0.50375997239333881       0.50377336469554668              215
 min, max u ice = -0.50556043011056473       0.50557392571520043              216
 min, max u ice = -0.50735710604060136       0.50737070518284832              217
 min, max u ice = -0.50915001361486067       0.50916371652846915              218
 min, max u ice = -0.51093916620884450       0.51095297312613885              219
 min, max u ice = -0.51272457714239550       0.51273848829428292              220
 min, max u ice = -0.51450625967993913       0.51452027529591737              221
 min, max u ice = -0.51628422703072541       0.51629834733889002              222
 min, max u ice = -0.51805849234907642       0.51807271757612927              223
 min, max u ice = -0.51982906873462498       0.51984339910588184              224
 min, max u ice = -0.52159596923255303       0.52161040497195110              225
 min, max u ice = -0.52335920683383641       0.52337374816394200              226
 min, max u ice = -0.52511879447547982       0.52513344161749653              227
 min, max u ice = -0.52687474504075471       0.52688949821453046              228
 min, max u ice = -0.52862707135943277       0.52864193078346722              229
 min, max u ice = -0.53037578620802661       0.53039075209947917              230
 min, max u ice = -0.53212090231002096       0.53213597488471820              231
 min, max u ice = -0.53386243233610342       0.53387761180854598              232
 min, max u ice = -0.53560038890440176       0.53561567548777234              233
 min, max u ice = -0.53733478458071182       0.53735017848688227              234
 min, max u ice = -0.53906563187872780       0.53908113331826668              235
 min, max u ice = -0.54079294326026883       0.54080855244244819              236
 min, max u ice = -0.54251673113551224       0.54253244826831526              237
 min, max u ice = -0.54423700786321727       0.54425283315334538              238
 min, max u ice = -0.54595378575095133       0.54596971940383154              239
 min, max u ice = -0.54766707705531270       0.54768311927510394              240
 min, max u ice = -0.54937689398215928       0.54939304497176022              241
 min, max u ice = -0.55108324868682868       0.55109950864788482              242
 min, max u ice = -0.55278615327436043       0.55280252240727068              243
 min, max u ice = -0.55448561979971445       0.55450209830363817              244
 min, max u ice = -0.55618166026799620       0.55619824834086018              245
 min, max u ice = -0.55787428663467242       0.55789098447317798              246
 min, max u ice = -0.55956351080578981       0.55958031860541924              247
 min, max u ice = -0.56124934463819121       0.56126626259321510              248
 min, max u ice = -0.56293179993973053       0.56294882824321391              249
 min, max u ice = -0.56461088846949203       0.56462802731330142              250
 min, max u ice = -0.56628662193800161       0.56630387151281181              251
 min, max u ice = -0.56795901200744048       0.56797637250274113              252
 min, max u ice = -0.56962807029185669       0.56964554189595906              253
 min, max u ice = -0.57129380835737731       0.57131139125742070              254
 min, max u ice = -0.57295623772241666       0.57297393210437431              255
 min, max u ice = -0.57461536985788919       0.57463317590657603              256
 min, max u ice = -0.57627121618741650       0.57628913408649485              257
 min, max u ice = -0.57792378808753420       0.57794181801952071              258
 min, max u ice = -0.57957309688789915       0.57959123903417065              259
 min, max u ice = -0.58121915387149459       0.58123740841229476              260
 min, max u ice = -0.58286197027483511       0.58288033738928080              261
 min, max u ice = -0.58450155728816877       0.58452003715425616              262
 min, max u ice = -0.58613792605568416       0.58615651885029496              263
 min, max u ice = -0.58777108767570985       0.58778979357461780              264
 min, max u ice = -0.58940105320091574       0.58941987237879290              265
 min, max u ice = -0.59102783363851330       0.59104676626893593              266
 min, max u ice = -0.59265143995045488       0.59267048620590979              267
 min, max u ice = -0.59427188305363221       0.59429104310552261              268
 min, max u ice = -0.59588917382007367       0.59590844783872532              269
 min, max u ice = -0.59750332307714160       0.59752271123180900              270
 min, max u ice = -0.59911434160772570       0.59913384406659764              271
 min, max u ice = -0.60072224015044240       0.60074185708064809              272
 min, max u ice = -0.60232702939982619       0.60234676096744166              273
 min, max u ice = -0.60392872000652331       0.60394856637657668              274
 min, max u ice = -0.60552732257748343       0.60554728391396162              275
 min, max u ice = -0.60712284767615210       0.60714292414200566              276
 min, max u ice = -0.60871530582266042       0.60873549757981016              277
 min, max u ice = -0.61030470749401533       0.61032501470335743              278
 min, max u ice = -0.61189106312428831       0.61191148594570055              279
 min, max u ice = -0.61347438310480384       0.61349492169715081              280
 min, max u ice = -0.61505467778432588       0.61507533230546529              281
 min, max u ice = -0.61663195746924493       0.61665272807603277              282
 min, max u ice = -0.61820623242376360       0.61822711927205976              283
 min, max u ice = -0.61977751287008076       0.61979851611475478              284
 min, max u ice = -0.62134580898857572       0.62136692878351241              285
 min, max u ice = -0.62291113091799177       0.62293236741609648              286
 min, max u ice = -0.62447348875561781       0.62449484210882211              287
 min, max u ice = -0.62603289255746997       0.62605436291673700              288
 min, max u ice = -0.62758935233847246       0.62761093985380234              289
 min, max u ice = -0.62914287807263714       0.62916458289307242              290
 min, max u ice = -0.63069347969324274       0.63071530196687375              291
 min, max u ice = -0.63224116709301281       0.63226310696698340              292
 min, max u ice = -0.63378595012429362       0.63380800774480550              293
 min, max u ice = -0.63532783859923037       0.63535001411154934              294
 min, max u ice = -0.63686684228994317       0.63688913583840401              295
 min, max u ice = -0.63840297092870180       0.63842538265671356              296
 min, max u ice = -0.63993623420810075       0.63995876425815157              297
 min, max u ice = -0.64146664178123214       0.64148929029489499              298
 min, max u ice = -0.64299420326185830       0.64301697037979555              299
 min, max u ice = -0.64451892822458423       0.64454181408655342              300
 min, max u ice = -0.64604082620502823       0.64606383094988673              301
 min, max u ice = -0.64755990669999286       0.64758303046570287              302
 min, max u ice = -0.64907617916763405       0.64909942209126781              303
 min, max u ice = -0.65058965302763050       0.65061301524537507              304
 min, max u ice = -0.65210033766135167       0.65212381930851415              305
 min, max u ice = -0.65360824241202475       0.65363184362303717              306
 min, max u ice = -0.65511337658490176       0.65513709749332572              307
 min, max u ice = -0.65661574944742518       0.65663959018595741              308
 min, max u ice = -0.65811537022939504       0.65813933092987142              309
 min, max u ice = -0.65961224812312935       0.65963632891653068              310
 min, max u ice = -0.66110639228363033       0.66113059330008606              311
 min, max u ice = -0.66259781182874677       0.66262213319754037              312
 min, max u ice = -0.66408651583933642       0.66411095768891037              313
 min, max u ice = -0.66557251335942758       0.66559707581738747              314
 min, max u ice = -0.66705581339637998       0.66708049658949986              315
 min, max u ice = -0.66853642492104437       0.66856122897527070              316
 min, max u ice = -0.67001435686792221       0.67003928190837903              317
 min, max u ice = -0.67148961813532426       0.67151466428631768              318
 min, max u ice = -0.67296221758552965       0.67298738497055266              319
 min, max u ice = -0.67443216404494044       0.67445745278667746              320
 min, max u ice = -0.67589946630423914       0.67592487652457012              321
 min, max u ice = -0.67736413311854526       0.67738966493855080              322
 min, max u ice = -0.67882617320757010       0.67885182674753519              323
 min, max u ice = -0.68028559525577081       0.68031137063518987              324
 min, max u ice = -0.68174240791250473       0.68178554276194148              325
 min, max u ice = -0.68319661979218316       0.68327256523472946              326
 min, max u ice = -0.68466384058446816       0.68475717065801989              327
 min, max u ice = -0.68614577224057449       0.68623936722584966              328
 min, max u ice = -0.68762530332593008       0.68771916309783421              329
 min, max u ice = -0.68910244196576997       0.68919656639931093              330
 min, max u ice = -0.69057719625121083       0.69067158522149907              331
 min, max u ice = -0.69204957423941016       0.69214422762165873              332
